mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_0_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,tempo,spectral_bandwidth_mean,spectral_bandwidth_std,rms_mean,rms_std,filepath,label,label_id,genre
-71.61501,81.12124,16.355663,8.950534,13.818387,-0.7371725,12.522271,-0.63937044,3.043049,3.0547538,-3.2121913,-1.318577,-0.6402586,73.73637,33.6039,31.322948,19.985493,15.701512,16.484308,14.857588,12.480364,11.254596,11.222676,10.967269,8.6942005,8.602608,0.4215143,0.40175343,0.36014256,0.4067574,0.3889068,0.50516164,0.36107567,0.46802098,0.51562876,0.37736028,0.40420914,0.34390184,0.33190495,0.30605027,0.26500657,0.29740593,0.26804432,0.3221144,0.23838334,0.3099951,0.31414238,0.27853215,0.31792814,0.2632821,2842.6607931089798,1080.5468293981023,6479.344153625677,2459.5487890072704,0.12498941805340558,0.08603753371603301,117.45383522727273,3039.1056726884412,577.8457514203352,0.2022946,0.07428934,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00045.wav,pop,7,pop
-50.449287,56.41648,12.563282,11.288339,-2.739751,1.3628131,4.5399694,-0.96321356,2.2894216,2.7384727,-1.9891648,2.5949512,-4.0203376,41.683662,18.90541,13.112893,13.073722,9.411331,10.787101,8.833917,8.716078,8.468237,8.214362,7.383576,7.3004026,7.002166,0.2464332,0.33226955,0.4221935,0.29745126,0.41530284,0.29503813,0.47763515,0.532326,0.4038286,0.522878,0.34093466,0.3660446,0.1880913,0.24292356,0.28472978,0.20124844,0.3226473,0.20313697,0.31425938,0.32891512,0.21520741,0.3330859,0.22028483,0.26940793,3594.167118271268,722.3497338115999,7634.353836106811,1066.9004072330738,0.18523244001547987,0.07679396298969991,129.19921875,3170.8583483099096,252.09226320047748,0.1324763,0.038686164,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00086.wav,pop,7,pop
-46.703014,55.877514,26.12021,16.543205,7.104527,-3.3266873,9.25601,-0.8715932,8.313573,7.1480994,-0.538722,1.7517585,-1.8377472,66.27015,30.757109,23.699429,15.671185,14.587162,18.108234,13.761619,10.253114,10.935881,11.248845,11.077547,9.048454,8.819048,0.49919236,0.41647333,0.3601141,0.45238554,0.41451356,0.41700286,0.3707887,0.45814893,0.34087747,0.26846012,0.3312573,0.35560328,0.34578574,0.29883373,0.26831466,0.35043392,0.33611956,0.37041306,0.32194343,0.33152762,0.26910725,0.23773733,0.2845887,0.27325162,3498.3579746722603,1173.369755123734,7664.611986473249,1764.676690342747,0.13602223115808823,0.09140449231594258,129.19921875,3295.5183653344498,396.871833976285,0.27360487,0.12332197,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00060.wav,pop,7,pop
-169.15085,94.640785,24.504723,27.41387,11.641731,14.895841,4.234472,12.369024,10.702795,5.126413,-0.3423666,1.2547646,-4.1575885,70.08314,24.043037,18.800877,13.444351,7.8689446,10.245578,7.9559855,6.5385213,6.076169,6.7002587,7.5193024,6.7130027,6.8934703,0.5532836,0.38026157,0.32303706,0.25793672,0.2785601,0.3524333,0.39248487,0.6128878,0.37962493,0.2758319,0.2602208,0.4289156,0.3597397,0.2614285,0.26041505,0.21874002,0.22296262,0.34563923,0.22577155,0.32734576,0.22709407,0.27335823,0.21643493,0.27373838,2125.4079876587084,851.6687155538492,4979.028225830834,1901.4783883952482,0.06769535785119969,0.052067686155297964,92.28515625,2673.9246329139587,461.86069736186505,0.09395813,0.038234957,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00006.wav,pop,7,pop
-80.396324,35.962517,20.407267,26.376535,17.379705,4.580236,13.489165,3.6187565,7.3240743,5.479913,3.9538543,5.313696,3.5346324,77.747,41.019833,29.620413,21.165636,15.643431,14.919622,12.681517,11.730044,11.731486,11.86195,10.561568,10.238906,10.454734,0.45138526,0.47377604,0.44953445,0.54884064,0.47520626,0.39684793,0.3794915,0.45403334,0.6140803,0.5618269,0.44544932,0.42665625,0.30706072,0.33494136,0.29911596,0.3144936,0.28686842,0.30420604,0.2955344,0.2875217,0.34200153,0.32392994,0.27795568,0.28459072,3681.430351016257,1462.3320395313963,7566.579245930486,2155.747427551291,0.14562421391253869,0.13077850513533304,89.10290948275862,3221.829158023403,482.26338315001016,0.24994287,0.12312224,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00056.wav,pop,7,pop
-94.53429,55.664608,29.260527,27.047909,20.063942,1.1709082,12.953799,-0.7993096,8.872952,-0.6761954,-5.338357,2.2207077,-4.614716,64.589195,24.894876,18.041988,17.127926,11.851547,14.991183,11.671796,12.727351,10.935026,11.213364,9.844408,8.603485,8.45055,0.38364258,0.3270215,0.38932666,0.32534808,0.46218324,0.4806134,0.3399388,0.47940272,0.400959,0.41170657,0.33846253,0.33796865,0.31070235,0.2549817,0.31158745,0.24519794,0.33559918,0.3376022,0.23996261,0.36028817,0.2730654,0.31724095,0.28054622,0.25769144,3422.09468148469,1039.6893659171515,7953.293574188516,1643.937712490267,0.12676680715460525,0.09723434236558502,89.10290948275862,3409.811125578918,404.75954112162606,0.18582647,0.08670984,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00000.wav,pop,7,pop
4.804322,64.50391,-2.5012724,10.419498,3.2420893,7.8209686,3.101567,1.4055256,6.745003,4.8848324,3.2736435,1.747771,3.3316631,63.50406,22.887861,27.233412,15.82056,10.889756,12.68718,9.616704,10.79154,9.782947,9.526393,8.331893,8.223913,7.363289,0.55417705,0.48195985,0.4840815,0.4451884,0.35990527,0.3665688,0.41988933,0.5199301,0.45418954,0.4512111,0.42821094,0.45523217,0.32631177,0.30436307,0.30530652,0.3001351,0.24966916,0.27035528,0.26803285,0.31139717,0.28012785,0.28495046,0.25616038,0.27710643,3236.3834897605984,794.3654006906496,6698.901159327835,1494.690606922149,0.16482477808146284,0.06194899609210134,103.359375,2953.665320076075,408.5380437187358,0.24089603,0.089719206,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00037.wav,pop,7,pop
-18.171194,72.29644,-4.867231,-0.35958105,1.6975714,-0.9182093,-1.3221729,-0.34197274,0.6473231,-0.18098038,-1.2175112,-1.0574641,2.5195053,57.778263,22.349442,17.082207,15.126052,10.442978,11.597796,8.989044,9.422674,10.430056,8.475623,8.875635,7.953418,6.3560295,0.40088534,0.5333809,0.2907769,0.37262842,0.26026058,0.3725749,0.25683156,0.28990224,0.46873748,0.32162443,0.44138432,0.28339642,0.29509792,0.34687063,0.21298224,0.32472903,0.20675614,0.31231788,0.21347831,0.22549738,0.32420233,0.23334606,0.35627195,0.21638876,3070.6451711304394,780.6889583730654,6652.968103745405,1510.7491763894745,0.14873984133126936,0.06785776800372194,95.703125,2975.8591939206276,353.70248458760653,0.20310587,0.07963953,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00030.wav,pop,7,pop
9.675074,88.82607,-20.29368,5.1013055,-2.917802,-0.18818112,0.32748184,1.604321,-2.2592056,-0.94065094,-6.2122498,-2.9767897,-1.8151839,46.418457,28.384329,17.131422,13.709639,10.917519,9.436494,9.818374,7.884112,7.231014,8.026523,7.281337,6.8180957,6.149151,0.5033664,0.42235714,0.45908192,0.45010367,0.42711774,0.466368,0.42984483,0.53503335,0.5465724,0.47850382,0.5240824,0.52692497,0.27186432,0.26495454,0.27825746,0.26147768,0.24881725,0.27582502,0.24739307,0.29753572,0.28314888,0.258746,0.28541687,0.286908,2569.255822724336,634.3898918712331,5351.900971120356,1494.0979660617786,0.13165642233455882,0.0510417805484458,117.45383522727273,2559.52936247521,417.7361603148995,0.23445223,0.0697762,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00072.wav,pop,7,pop
-125.53952,51.196957,38.517105,14.491696,16.232538,4.642958,12.308261,1.1730317,1.7245499,9.770825,-2.822416,2.07893,0.85300976,73.49762,34.00556,33.58128,22.16994,16.512142,14.833392,14.79433,13.25966,9.407231,10.808726,9.272698,9.1399555,8.270905,0.44630596,0.424164,0.49133787,0.4217588,0.4402233,0.42211613,0.40637434,0.50624096,0.54250497,0.59320766,0.47701782,0.4323918,0.29719383,0.2655426,0.3317205,0.27784798,0.2853597,0.28205815,0.24435607,0.3104375,0.33871043,0.365485,0.29236233,0.25316757,3510.042356894514,1511.7661482951257,7587.437453137094,2068.593969900478,0.13724822525638544,0.14166575104819387,99.38401442307692,3310.2784279907473,421.3931230130348,0.20417361,0.1400683,/home/alepot55/Desktop/projects/naml_project/data/gtzan/genres/pop/pop.00097.wav,pop,7,pop
